date,province,visitors,occupancy_rate,revenue,mobility_index,env_index,events_count
2018-01-01,Bengo,14827,60.974897068398214,827993.8281586253,50.877766469774166,83.06684071836794,0
2018-02-01,Bengo,19268,47.43894379107328,714540.5148500283,52.236888844167446,81.51516581653966,0
2018-03-01,Bengo,19776,28.87907354720308,571216.1623947665,53.235832691057574,79.1958564504197,1
2018-04-01,Bengo,22539,43.76250473779331,918500.872938949,47.53627536289063,81.67287621597788,2
2018-05-01,Bengo,18401,34.89079413302936,577673.9974815913,52.84940973322057,81.906043047649,1
2018-06-01,Bengo,19099,46.840330574893,594854.7528182017,52.73351348550196,81.80564202700083,0
2018-07-01,Bengo,19470,53.08001349662568,577912.6454531566,54.350590309994786,83.95846844354506,2
2018-08-01,Bengo,18816,56.43715100848215,852218.6603379517,57.98881812756716,87.75536687742994,0
2018-09-01,Bengo,13605,46.53446785321676,373603.37335960066,60.308435393790425,86.69395409526292,1
2018-10-01,Bengo,26143,46.5143634417692,1058365.952924724,59.54353888342825,70.18837938997407,0
2018-11-01,Bengo,26228,43.24701576468379,1507302.1657834828,64.61718513722272,72.60720680307016,0
2018-12-01,Bengo,18378,43.57855161177885,1047320.7726689371,55.61385938195724,83.2903653956019,2
2019-01-01,Bengo,22696,37.86302568977524,538442.4167249076,58.80845250796518,72.98387565694861,0
2019-02-01,Bengo,21906,60.308950579029606,1074231.4040532585,61.416019959193335,81.74521239094032,0
2019-03-01,Bengo,22376,53.187953280365356,452050.3200057196,55.1508901834901,78.14849903597441,1
2019-04-01,Bengo,17210,41.168775318957415,498586.9926326494,54.19410793080321,85.15125381122735,0
2019-05-01,Bengo,23215,57.12367430113309,1252888.8589848937,65.70239499016225,79.25118047998346,0
2019-06-01,Bengo,28210,66.19844024677374,979130.5121722647,55.152190531311604,69.34256914510368,1
2019-07-01,Bengo,36122,53.29786374403775,1870846.956261257,63.920007654635846,72.08126647718522,1
2019-08-01,Bengo,27826,51.894701754468585,1360638.1023706659,54.55791525961381,73.62141724572956,4
2019-09-01,Bengo,26885,50.21176016605516,1577240.5923995622,63.6855909780282,70.57461884579477,2
2019-10-01,Bengo,24439,39.146282443476935,1033086.6421287849,60.864113855953285,76.71695213918652,1
2019-11-01,Bengo,24141,51.790970952387276,1330046.5331765108,54.24041123893247,78.47634147298137,1
2019-12-01,Bengo,30298,59.915130521456604,961769.8279010247,62.43046972215229,71.24335785273662,2
2020-01-01,Bengo,27640,62.94463375919834,1271400.1218678972,59.73540567980844,75.2220052904796,1
2020-02-01,Bengo,23879,56.71715410683193,836321.8130435689,60.312013965752854,73.55321324651189,0
2020-03-01,Bengo,22241,70.08353359362903,699738.5595434069,49.8842600674174,76.51540458383033,0
2020-04-01,Bengo,25460,52.268095724422906,1346936.4109757962,54.43585603562785,73.53554825781579,1
2020-05-01,Bengo,23808,56.083357748453146,557438.0978628652,52.17698300089258,76.32871551971145,1
2020-06-01,Bengo,25606,46.53418517096069,1255811.7876520988,58.188076303485246,75.7202220506002,0
2020-07-01,Bengo,24465,46.51293719751554,918877.4323025355,61.90907760015286,73.21954276672973,1
2020-08-01,Bengo,26472,65.1578837243833,794417.2000085267,65.96493232827687,74.74294513288285,3
2020-09-01,Bengo,19973,68.90496041947456,734686.88187481,61.74985375377367,77.83477579031104,1
2020-10-01,Bengo,28232,41.74859394112388,695718.5114716504,58.2187581552181,74.09190216028802,0
2020-11-01,Bengo,33771,51.892655643887956,1315004.6068412194,50.71447078018471,65.47129554582052,0
2020-12-01,Bengo,27575,42.12616827922096,1230782.6581515947,52.524173251311794,72.81722173185827,0
2021-01-01,Bengo,23666,52.63674591724993,1284107.5432625134,65.78428603821038,73.38947404685615,0
2021-02-01,Bengo,25386,55.92574345675676,1160058.2318618211,53.69005213992399,73.45805920941473,2
2021-03-01,Bengo,18592,47.36808720433538,777604.2938784745,63.175233057689326,80.95264471489325,2
2021-04-01,Bengo,16303,57.055935242238064,371291.8915267129,53.286207962361495,81.82890144053822,0
2021-05-01,Bengo,23261,59.48956229171019,486873.1398860418,48.810428032787854,74.97090572916737,0
2021-06-01,Bengo,18656,59.26669629424049,893053.1422813438,54.87641414434296,82.26589856262983,2
2021-07-01,Bengo,15754,56.944016565648305,823514.9792966591,46.07094544318588,84.18329521810755,2
2021-08-01,Bengo,16654,53.52898051225338,953113.3000240707,47.778517207851195,86.64233055596158,2
2021-09-01,Bengo,15476,52.74777448222435,821130.2298193364,52.77342179618405,86.56985891388489,1
2021-10-01,Bengo,18455,50.22870932074633,1037452.9749927005,46.02615283894922,79.70571595127487,3
2021-11-01,Bengo,19085,38.43472353626768,632602.5139353939,44.42509072607656,84.3893326205002,2
2021-12-01,Bengo,19295,59.164626852908306,767493.5911694523,46.334721395009865,78.67351486546366,0
2022-01-01,Bengo,18734,50.41882619148487,462405.33943019074,49.29466957208458,82.50479436282686,1
2022-02-01,Bengo,17844,48.442010806483864,416912.07393264055,42.45605390249708,82.7674681825824,2
2022-03-01,Bengo,15077,41.42737346079249,791723.1630216546,36.963020113630265,82.93031767008674,0
